abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,Seed PokÌ©mon,49,1059860,0.7,45,Fushigidane‹Ä¥‹âá‹â¨‹ÄÛ‹Ä,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,Seed PokÌ©mon,63,1059860,1,60,Fushigisou‹Ä¥‹âá‹â¨‹â_‹â_,Ivysaur,88.1,2,80,80,60,grass,poison,13,1,0
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,Seed PokÌ©mon,123,1059860,2,80,Fushigibana‹Ä¥‹âá‹â¨‹Ä‹Ä_,Venusaur,88.1,3,122,120,80,grass,poison,100,1,0
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Lizard PokÌ©mon,43,1059860,0.6,39,Hitokage‹ÄÕ‹Äö‹âÇ‹â_,Charmander,88.1,4,60,50,65,fire,,8.5,1,0
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Flame PokÌ©mon,58,1059860,1.1,58,Lizardo‹Ä»‹â¦‹Ä_‹Ää,Charmeleon,88.1,5,80,65,80,fire,,19,1,0
"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,Flame PokÌ©mon,78,1059860,1.7,78,Lizardon‹Ä»‹â¦‹Ä_‹Ää‹Ä_,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,Tiny Turtle PokÌ©mon,65,1059860,0.5,44,Zenigame‹â_‹ÄÜ‹âÂ‹ÄÁ,Squirtle,88.1,7,50,64,43,water,,9,1,0
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,Turtle PokÌ©mon,80,1059860,1,59,Kameil‹âÇ‹ÄÁ‹Ä_‹ÄÇ,Wartortle,88.1,8,65,80,58,water,,22.5,1,0
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,Shellfish PokÌ©mon,120,1059860,1.6,79,Kamex‹âÇ‹ÄÁ‹ÄÄ‹âø‹â_,Blastoise,88.1,9,135,115,78,water,,85.5,1,0
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,Worm PokÌ©mon,35,1000000,0.3,45,Caterpie‹â_‹Ä£‹âÀ‹ÄÓ‹Ä_,Caterpie,50,10,20,20,45,bug,,2.9,1,0
